Nodal displacements, Load comb.: combo1
ID	Node	ex	ey	ez	φ x	φ y	φ z
[-]	[-]	[mm]	[mm]	[mm]	[rad]	[rad]	[rad]
B.1.1	51	0.000	0.000	-0.541	-0.001	0.000	0.000
B.1.1	53	0.000	0.000	-0.990	-0.001	0.000	0.000
B.1.1	54	0.000	0.000	-1.158	-0.000	0.000	0.000
B.1.1	52	0.000	0.000	-0.777	-0.001	0.000	0.000
B.1.1	49	0.000	0.000	-0.115	-0.000	0.000	0.000
B.1.1	50	0.000	0.000	-0.309	-0.001	0.000	0.000
B.1.1	48	0.000	0.000	-0.000	-0.000	0.000	0.000
B.1.1	60	0.000	-0.000	-0.777	0.001	0.000	-0.000
B.1.1	58	0.000	-0.000	-1.158	0.000	0.000	-0.000
B.1.1	59	0.000	-0.000	-0.990	0.001	0.000	-0.000
B.1.1	61	0.000	-0.000	-0.541	0.001	0.000	-0.000
B.1.1	55	0.000	0.000	-1.264	-0.000	0.000	0.000
B.1.1	56	0.000	0.000	-1.301	0.000	0.000	-0.000
B.1.1	63	0.000	-0.000	-0.115	0.000	0.000	-0.000
B.1.1	57	0.000	-0.000	-1.264	0.000	0.000	-0.000
B.1.1	64	0.000	-0.000	-0.000	0.000	0.000	-0.000
B.1.1	62	0.000	-0.000	-0.309	0.001	0.000	-0.000
B.2.1	1200	-0.000	0.000	-0.777	0.001	-0.000	-0.000
B.2.1	1204	-0.000	0.000	-0.000	0.000	-0.000	-0.000
B.2.1	1202	-0.000	0.000	-0.309	0.001	-0.000	-0.000
B.2.1	1192	-0.000	-0.000	-0.777	-0.001	-0.000	0.000
B.2.1	1198	-0.000	0.000	-1.158	0.000	-0.000	-0.000
B.2.1	1199	-0.000	0.000	-0.990	0.001	-0.000	-0.000
B.2.1	1190	-0.000	-0.000	-0.309	-0.001	-0.000	0.000
B.2.1	1191	-0.000	-0.000	-0.541	-0.001	-0.000	0.000
B.2.1	1203	-0.000	0.000	-0.115	0.000	-0.000	-0.000
B.2.1	1189	-0.000	-0.000	-0.115	-0.000	-0.000	0.000
B.2.1	1195	-0.000	-0.000	-1.264	-0.000	-0.000	0.000
B.2.1	1201	-0.000	0.000	-0.541	0.001	-0.000	-0.000
B.2.1	1193	-0.000	-0.000	-0.990	-0.001	-0.000	0.000
B.2.1	1188	-0.000	-0.000	-0.000	-0.000	-0.000	0.000
B.2.1	1194	-0.000	-0.000	-1.158	-0.000	-0.000	0.000
B.2.1	1196	-0.000	0.000	-1.301	-0.000	-0.000	0.000
B.2.1	1197	-0.000	0.000	-1.264	0.000	-0.000	-0.000
B.3.1	17	0.000	-0.001	-0.004	0.000	-0.000	0.000
B.3.1	25	0.000	-0.000	-0.003	0.000	-0.000	0.000
B.3.1	27	0.000	-0.000	-0.003	0.000	-0.000	0.000
B.3.1	23	0.000	-0.001	-0.003	0.000	-0.000	0.000
B.3.1	64	0.000	-0.000	-0.000	0.000	0.000	-0.000
B.3.1	19	0.000	-0.001	-0.004	0.000	-0.000	0.000
B.3.1	21	0.000	-0.001	-0.004	0.000	-0.000	0.000
B.3.1	37	0.000	-0.000	-0.001	0.000	-0.000	0.000
B.3.1	31	0.000	-0.000	-0.002	0.000	-0.000	0.000
B.3.1	43	0.000	0.000	-0.001	0.000	-0.000	0.000
B.3.1	39	0.000	0.000	-0.001	0.000	-0.000	0.000
B.3.1	41	0.000	0.000	-0.001	0.000	-0.000	0.000
B.3.1	45	0.000	0.000	-0.000	0.000	-0.000	0.000
B.3.1	47	0.000	0.000	-0.000	0.000	-0.000	0.000
B.3.1	29	0.000	-0.000	-0.002	0.000	-0.000	0.000
B.3.1	33	0.000	-0.000	-0.002	0.000	-0.000	0.000
B.3.1	35	0.000	-0.000	-0.002	0.000	-0.000	0.000
B.4.1	48	0.000	0.000	-0.000	-0.000	0.000	0.000
B.4.1	30	0.000	0.000	-0.002	-0.000	-0.000	-0.000
B.4.1	38	0.000	-0.000	-0.001	-0.000	-0.000	-0.000
B.4.1	18	0.000	0.001	-0.004	-0.000	-0.000	-0.000
B.4.1	34	0.000	0.000	-0.002	-0.000	-0.000	-0.000
B.4.1	32	0.000	0.000	-0.002	-0.000	-0.000	-0.000
B.4.1	20	0.000	0.001	-0.004	-0.000	-0.000	-0.000
B.4.1	28	0.000	0.000	-0.002	-0.000	-0.000	-0.000
B.4.1	40	0.000	-0.000	-0.001	-0.000	-0.000	-0.000
B.4.1	26	0.000	0.000	-0.003	-0.000	-0.000	-0.000
B.4.1	24	0.000	0.000	-0.003	-0.000	-0.000	-0.000
B.4.1	36	0.000	0.000	-0.001	-0.000	-0.000	-0.000
B.4.1	1	0.000	0.001	-0.004	-0.000	-0.000	-0.000
B.4.1	46	0.000	-0.000	-0.000	-0.000	-0.000	-0.000
B.4.1	42	0.000	-0.000	-0.001	-0.000	-0.000	-0.000
B.4.1	22	0.000	0.001	-0.003	-0.000	-0.000	-0.000
B.4.1	44	0.000	-0.000	-0.000	-0.000	-0.000	-0.000
B.5.1	1204	-0.000	0.000	-0.000	0.000	-0.000	-0.000
B.5.1	1208	-0.000	-0.000	-0.001	0.000	0.000	-0.000
B.5.1	1206	-0.000	-0.000	-0.000	0.000	0.000	-0.000
B.5.1	1212	-0.000	-0.000	-0.002	0.000	0.000	-0.000
B.5.1	1210	-0.000	-0.000	-0.001	0.000	0.000	-0.000
B.5.1	1214	-0.000	-0.000	-0.003	0.000	0.000	-0.000
B.5.1	1224	-0.000	-0.000	-0.007	0.000	0.000	0.000
B.5.1	1216	-0.000	-0.000	-0.003	0.000	0.000	-0.000
B.5.1	1220	-0.000	-0.000	-0.005	0.000	0.000	0.000
B.5.1	1232	-0.000	0.000	-0.010	0.000	0.000	0.000
B.5.1	1228	-0.000	0.000	-0.008	0.000	0.000	0.000
B.5.1	1251	-0.000	0.001	-0.012	0.000	0.000	0.000
B.5.1	1226	-0.000	-0.000	-0.008	0.000	0.000	0.000
B.5.1	1230	-0.000	0.000	-0.009	0.000	0.000	0.000
B.5.1	1222	-0.000	-0.000	-0.006	0.000	0.000	0.000
B.5.1	1234	-0.000	0.001	-0.011	0.000	0.000	0.000
B.5.1	1218	-0.000	-0.000	-0.004	0.000	0.000	0.000
B.6.1	1188	-0.000	-0.000	-0.000	-0.000	-0.000	0.000
B.6.1	1229	-0.000	-0.000	-0.009	-0.000	0.000	-0.000
B.6.1	1227	-0.000	-0.000	-0.008	-0.000	0.000	-0.000
B.6.1	1223	-0.000	0.000	-0.007	-0.000	0.000	-0.000
B.6.1	1231	-0.000	-0.000	-0.010	-0.000	0.000	-0.000
B.6.1	1233	-0.000	-0.001	-0.011	-0.000	0.000	-0.000
B.6.1	1235	-0.000	-0.001	-0.012	-0.000	0.000	-0.000
B.6.1	1207	-0.000	0.000	-0.001	-0.000	0.000	0.000
B.6.1	1219	-0.000	0.000	-0.005	-0.000	0.000	-0.000
B.6.1	1215	-0.000	0.000	-0.003	-0.000	0.000	0.000
B.6.1	1217	-0.000	0.000	-0.004	-0.000	0.000	-0.000
B.6.1	1209	-0.000	0.000	-0.001	-0.000	0.000	0.000
B.6.1	1213	-0.000	0.000	-0.003	-0.000	0.000	0.000
B.6.1	1211	-0.000	0.000	-0.002	-0.000	0.000	0.000
B.6.1	1221	-0.000	0.000	-0.006	-0.000	0.000	-0.000
B.6.1	1225	-0.000	0.000	-0.008	-0.000	0.000	-0.000
B.6.1	1205	-0.000	0.000	-0.000	-0.000	0.000	0.000
B.7.1	117	0.175	0.001	-3.525	-0.023	0.003	-0.000
B.7.1	118	1.853	0.001	-11.390	-0.026	0.003	-0.010
B.7.1	119	5.917	0.001	-19.730	-0.027	0.003	-0.016
B.7.1	120	11.249	0.001	-27.894	-0.025	0.003	-0.018
B.7.1	127	26.244	-0.000	-46.293	0.012	0.003	0.011
B.7.1	122	22.100	0.001	-41.577	-0.018	0.003	-0.015
B.7.1	130	11.249	-0.001	-27.894	0.025	0.003	0.018
B.7.1	121	16.901	0.001	-35.327	-0.022	0.003	-0.018
B.7.1	131	5.917	-0.001	-19.730	0.027	0.003	0.016
B.7.1	129	16.901	-0.001	-35.327	0.022	0.003	0.018
B.7.1	125	29.817	0.000	-50.216	-0.000	0.003	-0.000
B.7.1	132	1.853	-0.001	-11.390	0.026	0.003	0.010
B.7.1	128	22.100	-0.001	-41.577	0.018	0.003	0.015
B.7.1	124	28.902	0.000	-49.223	-0.006	0.003	-0.006
B.7.1	133	0.175	-0.001	-3.525	0.023	0.003	0.000
B.7.1	123	26.244	0.000	-46.293	-0.012	0.003	-0.011
B.7.1	126	28.902	-0.000	-49.223	0.006	0.003	0.006
B.8.1	17	0.000	-0.001	-0.004	0.000	-0.000	0.000
B.8.1	1	0.000	0.001	-0.004	-0.000	-0.000	-0.000
B.8.1	7	0.544	0.000	-0.867	-0.000	-0.000	-0.000
B.8.1	6	0.458	0.000	-0.771	-0.000	-0.000	-0.000
B.8.1	9	0.618	0.000	-0.946	0.000	-0.000	0.000
B.8.1	10	0.599	-0.000	-0.926	0.000	-0.000	0.000
B.8.1	4	0.232	0.001	-0.494	-0.001	-0.000	-0.000
B.8.1	8	0.599	0.000	-0.926	-0.000	-0.000	-0.000
B.8.1	16	0.036	-0.001	-0.161	0.001	-0.000	0.000
B.8.1	2	0.036	0.001	-0.161	-0.001	-0.000	-0.000
B.8.1	15	0.121	-0.001	-0.329	0.001	-0.000	0.000
B.8.1	11	0.544	-0.000	-0.867	0.000	-0.000	0.000
B.8.1	14	0.232	-0.001	-0.494	0.001	-0.000	0.000
B.8.1	13	0.349	-0.000	-0.644	0.000	-0.000	0.000
B.8.1	12	0.458	-0.000	-0.771	0.000	-0.000	0.000
B.8.1	5	0.349	0.000	-0.644	-0.000	-0.000	-0.000
B.8.1	3	0.121	0.001	-0.329	-0.001	-0.000	-0.000
B.9.1	256	0.379	-0.000	-10.999	-0.024	0.004	-0.000
B.9.1	257	2.054	-0.000	-19.035	-0.027	0.004	-0.010
B.9.1	258	6.116	-0.000	-27.524	-0.027	0.004	-0.016
B.9.1	271	2.054	0.000	-19.035	0.027	0.004	0.010
B.9.1	269	11.445	0.000	-35.813	0.025	0.004	0.018
B.9.1	260	17.095	-0.000	-43.348	-0.022	0.004	-0.018
B.9.1	265	29.094	0.000	-57.416	0.006	0.004	0.006
B.9.1	266	26.436	0.000	-54.451	0.012	0.004	0.011
B.9.1	267	22.293	0.000	-49.679	0.018	0.004	0.015
B.9.1	263	29.094	-0.000	-57.416	-0.006	0.004	-0.006
B.9.1	270	6.116	0.000	-27.524	0.027	0.004	0.016
B.9.1	262	26.436	-0.000	-54.451	-0.012	0.004	-0.011
B.9.1	264	30.008	0.000	-58.421	-0.000	0.004	-0.000
B.9.1	272	0.379	0.000	-10.999	0.024	0.004	0.000
B.9.1	268	17.095	0.000	-43.348	0.022	0.004	0.018
B.9.1	261	22.293	-0.000	-49.679	-0.018	0.004	-0.015
B.9.1	259	11.445	-0.000	-35.813	-0.025	0.004	-0.018
B.10.1	373	17.009	-0.000	-48.642	0.022	0.002	0.018
B.10.1	368	29.008	0.000	-62.713	-0.006	0.002	-0.006
B.10.1	369	29.923	0.000	-63.718	-0.000	0.002	-0.000
B.10.1	374	11.358	-0.000	-41.104	0.025	0.002	0.018
B.10.1	362	1.967	0.000	-24.321	-0.027	0.002	-0.010
B.10.1	375	6.029	-0.000	-32.813	0.027	0.002	0.016
B.10.1	372	22.207	-0.000	-54.974	0.018	0.002	0.015
B.10.1	376	1.967	-0.000	-24.321	0.027	0.002	0.010
B.10.1	377	0.291	-0.000	-16.282	0.024	0.002	0.000
B.10.1	361	0.291	0.000	-16.282	-0.024	0.002	-0.000
B.10.1	371	26.350	-0.000	-59.748	0.012	0.002	0.011
B.10.1	370	29.008	-0.000	-62.713	0.006	0.002	0.006
B.10.1	364	11.358	0.000	-41.104	-0.025	0.002	-0.018
B.10.1	363	6.029	0.000	-32.813	-0.027	0.002	-0.016
B.10.1	365	17.009	0.000	-48.642	-0.022	0.002	-0.018
B.10.1	367	26.350	0.000	-59.748	-0.012	0.002	-0.011
B.10.1	366	22.207	0.000	-54.974	-0.018	0.002	-0.015
B.11.1	498	0.127	-0.000	-18.624	-0.024	0.000	-0.000
B.11.1	499	1.803	-0.000	-26.663	-0.027	0.000	-0.010
B.11.1	500	5.865	-0.000	-35.155	-0.027	0.000	-0.016
B.11.1	507	28.844	0.000	-65.054	0.006	0.000	0.006
B.11.1	506	29.759	0.000	-66.060	-0.000	0.000	-0.000
B.11.1	509	22.043	0.000	-57.316	0.018	0.000	0.015
B.11.1	510	16.845	0.000	-50.984	0.022	0.000	0.018
B.11.1	501	11.195	-0.000	-43.446	-0.025	0.000	-0.018
B.11.1	504	26.186	-0.000	-62.090	-0.012	0.000	-0.011
B.11.1	508	26.186	0.000	-62.090	0.012	0.000	0.011
B.11.1	502	16.845	-0.000	-50.984	-0.022	0.000	-0.018
B.11.1	511	11.195	0.000	-43.446	0.025	0.000	0.018
B.11.1	514	0.127	0.000	-18.624	0.024	0.000	0.000
B.11.1	513	1.803	0.000	-26.663	0.027	0.000	0.010
B.11.1	512	5.865	0.000	-35.155	0.027	0.000	0.016
B.11.1	505	28.844	-0.000	-65.054	-0.006	0.000	-0.006
B.11.1	503	22.043	-0.000	-57.316	-0.018	0.000	-0.015
B.12.1	643	26.050	0.000	-62.122	-0.012	0.000	-0.011
B.12.1	642	21.907	0.000	-57.348	-0.018	0.000	-0.015
B.12.1	644	28.708	0.000	-65.087	-0.006	0.000	-0.006
B.12.1	645	29.622	0.000	-66.092	-0.000	0.000	-0.000
B.12.1	649	16.709	-0.000	-51.016	0.022	0.000	0.018
B.12.1	650	11.058	-0.000	-43.479	0.025	0.000	0.018
B.12.1	647	26.050	-0.000	-62.122	0.012	0.000	0.011
B.12.1	639	5.728	0.000	-35.187	-0.027	0.000	-0.016
B.12.1	646	28.708	-0.000	-65.087	0.006	0.000	0.006
B.12.1	648	21.907	-0.000	-57.348	0.018	0.000	0.015
B.12.1	652	1.667	-0.000	-26.695	0.027	0.000	0.010
B.12.1	651	5.728	-0.000	-35.187	0.027	0.000	0.016
B.12.1	653	-0.009	-0.000	-18.656	0.024	0.000	0.000
B.12.1	638	1.667	0.000	-26.695	-0.027	0.000	-0.010
B.12.1	640	11.058	0.000	-43.479	-0.025	0.000	-0.018
B.12.1	637	-0.009	0.000	-18.656	-0.024	0.000	-0.000
B.12.1	641	16.709	0.000	-51.016	-0.022	0.000	-0.018
B.13.1	758	-0.154	0.000	-18.433	0.024	-0.001	0.000
B.13.1	753	21.762	0.000	-57.125	0.018	-0.001	0.015
B.13.1	750	29.478	0.000	-65.869	-0.000	-0.001	0.000
B.13.1	757	1.522	0.000	-26.472	0.027	-0.001	0.010
B.13.1	746	16.564	-0.000	-50.793	-0.022	-0.001	-0.018
B.13.1	754	16.564	0.000	-50.793	0.022	-0.001	0.018
B.13.1	751	28.563	0.000	-64.864	0.006	-0.001	0.006
B.13.1	744	5.583	-0.000	-34.964	-0.027	-0.001	-0.016
B.13.1	755	10.913	0.000	-43.255	0.025	-0.001	0.018
B.13.1	748	25.905	-0.000	-61.899	-0.012	-0.001	-0.011
B.13.1	756	5.583	0.000	-34.964	0.027	-0.001	0.016
B.13.1	743	1.522	-0.000	-26.472	-0.027	-0.001	-0.010
B.13.1	742	-0.154	-0.000	-18.433	-0.024	-0.001	-0.000
B.13.1	749	28.563	-0.000	-64.864	-0.006	-0.001	-0.006
B.13.1	747	21.762	-0.000	-57.125	-0.018	-0.001	-0.015
B.13.1	752	25.905	0.000	-61.899	0.012	-0.001	0.011
B.13.1	745	10.913	-0.000	-43.255	-0.025	-0.001	-0.018
B.14.1	885	25.754	0.000	-59.167	-0.012	-0.002	-0.011
B.14.1	881	5.433	0.000	-32.232	-0.027	-0.002	-0.016
B.14.1	886	28.412	0.000	-62.132	-0.006	-0.002	-0.006
B.14.1	879	-0.305	0.000	-15.702	-0.024	-0.002	-0.000
B.14.1	888	28.412	-0.000	-62.132	0.006	-0.002	0.006
B.14.1	889	25.754	-0.000	-59.167	0.012	-0.002	0.011
B.14.1	890	21.611	-0.000	-54.393	0.018	-0.002	0.015
B.14.1	891	16.413	-0.000	-48.061	0.022	-0.002	0.018
B.14.1	892	10.762	-0.000	-40.524	0.025	-0.002	0.018
B.14.1	893	5.433	-0.000	-32.232	0.027	-0.002	0.016
B.14.1	894	1.371	-0.000	-23.741	0.027	-0.002	0.010
B.14.1	887	29.326	0.000	-63.137	-0.000	-0.002	0.000
B.14.1	883	16.413	0.000	-48.061	-0.022	-0.002	-0.018
B.14.1	882	10.762	0.000	-40.524	-0.025	-0.002	-0.018
B.14.1	884	21.611	0.000	-54.393	-0.018	-0.002	-0.015
B.14.1	880	1.371	0.000	-23.741	-0.027	-0.002	-0.010
B.14.1	895	-0.305	-0.000	-15.702	0.024	-0.002	0.000
B.15.1	1031	1.301	0.000	-17.915	0.027	-0.004	0.010
B.15.1	1030	5.364	0.000	-26.403	0.027	-0.004	0.016
B.15.1	1017	1.301	-0.000	-17.915	-0.027	-0.004	-0.010
B.15.1	1026	25.687	0.000	-53.330	0.012	-0.004	0.011
B.15.1	1029	10.694	0.000	-34.692	0.025	-0.004	0.018
B.15.1	1023	28.345	-0.000	-56.294	-0.006	-0.004	-0.006
B.15.1	1027	21.544	0.000	-48.557	0.018	-0.004	0.015
B.15.1	1028	16.345	0.000	-42.227	0.022	-0.004	0.018
B.15.1	1024	29.260	0.000	-57.299	-0.000	-0.004	0.000
B.15.1	1020	16.345	-0.000	-42.227	-0.022	-0.004	-0.018
B.15.1	1022	25.687	-0.000	-53.330	-0.012	-0.004	-0.011
B.15.1	1025	28.345	0.000	-56.294	0.006	-0.004	0.006
B.15.1	1016	-0.375	-0.000	-9.879	-0.024	-0.004	-0.000
B.15.1	1018	5.364	-0.000	-26.403	-0.027	-0.004	-0.016
B.15.1	1019	10.694	-0.000	-34.692	-0.025	-0.004	-0.018
B.15.1	1032	-0.375	0.000	-9.879	0.024	-0.004	0.000
B.15.1	1021	21.544	-0.000	-48.557	-0.018	-0.004	-0.015
B.16.1	1131	29.473	0.000	-48.981	-0.000	-0.003	-0.000
B.16.1	1125	5.590	0.003	-18.609	-0.026	-0.003	-0.016
B.16.1	1128	21.761	0.001	-40.370	-0.018	-0.003	-0.015
B.16.1	1133	25.902	-0.001	-45.070	0.012	-0.003	0.011
B.16.1	1129	25.902	0.001	-45.070	-0.012	-0.003	-0.011
B.16.1	1132	28.559	-0.000	-47.991	0.006	-0.003	0.006
B.16.1	1134	21.761	-0.001	-40.370	0.018	-0.003	0.015
B.16.1	1127	16.565	0.002	-34.142	-0.022	-0.003	-0.018
B.16.1	1135	16.565	-0.002	-34.142	0.022	-0.003	0.018
B.16.1	1136	10.917	-0.002	-26.737	0.025	-0.003	0.018
B.16.1	1137	5.590	-0.003	-18.609	0.026	-0.003	0.016
B.16.1	1130	28.559	0.000	-47.991	-0.006	-0.003	-0.006
B.16.1	1126	10.917	0.002	-26.737	-0.025	-0.003	-0.018
B.16.1	1123	-0.139	0.004	-2.491	-0.023	-0.003	-0.000
B.16.1	1124	1.533	0.003	-10.309	-0.026	-0.003	-0.010
B.16.1	1138	1.533	-0.003	-10.309	0.026	-0.003	0.010
B.16.1	1139	-0.139	-0.004	-2.491	0.023	-0.003	0.000
B.17.1	1235	-0.000	-0.001	-0.012	-0.000	0.000	-0.000
B.17.1	1251	-0.000	0.001	-0.012	0.000	0.000	0.000
B.17.1	1246	0.458	0.000	-0.792	0.000	0.000	0.000
B.17.1	1250	0.036	0.001	-0.173	0.001	0.000	0.000
B.17.1	1236	0.036	-0.001	-0.173	-0.001	0.000	-0.000
B.17.1	1248	0.232	0.001	-0.511	0.001	0.000	0.000
B.17.1	1244	0.600	0.000	-0.949	0.000	0.000	0.000
B.17.1	1241	0.544	-0.000	-0.889	-0.000	0.000	-0.000
B.17.1	1237	0.121	-0.001	-0.343	-0.001	0.000	-0.000
B.17.1	1240	0.458	-0.000	-0.792	-0.000	0.000	-0.000
B.17.1	1249	0.121	0.001	-0.343	0.001	0.000	0.000
B.17.1	1239	0.350	-0.000	-0.664	-0.000	0.000	-0.000
B.17.1	1247	0.350	0.000	-0.664	0.000	0.000	0.000
B.17.1	1238	0.232	-0.001	-0.511	-0.001	0.000	-0.000
B.17.1	1242	0.600	-0.000	-0.949	-0.000	0.000	-0.000
B.17.1	1243	0.619	-0.000	-0.970	-0.000	0.000	-0.000
B.17.1	1245	0.544	0.000	-0.889	0.000	0.000	0.000
B.18.1	48	0.000	0.000	-0.000	-0.000	0.000	0.000
B.18.1	136	-1.129	-0.000	-3.537	-0.000	0.003	-0.000
B.18.1	109	-0.786	-0.000	-2.637	-0.000	0.003	-0.000
B.18.1	105	-0.630	-0.000	-2.218	-0.000	0.003	-0.000
B.18.1	91	-0.245	-0.000	-1.130	-0.000	0.002	0.000
B.18.1	85	-0.150	-0.000	-0.834	-0.000	0.002	0.000
B.18.1	81	-0.075	-0.000	-0.576	-0.000	0.002	0.000
B.18.1	101	-0.487	-0.000	-1.826	-0.000	0.003	0.000
B.18.1	164	-1.700	-0.000	-4.998	-0.000	0.004	-0.000
B.18.1	154	-1.504	-0.000	-4.500	-0.000	0.004	-0.000
B.18.1	115	-0.953	-0.000	-3.077	-0.000	0.003	-0.000
B.18.1	95	-0.358	-0.000	-1.462	-0.000	0.002	0.000
B.18.1	146	-1.314	-0.000	-4.012	-0.000	0.004	-0.000
B.18.1	172	-1.898	-0.000	-5.501	-0.000	0.004	-0.000
B.18.1	77	-0.020	-0.000	-0.361	-0.000	0.001	0.000
B.18.1	71	0.011	0.000	-0.191	-0.000	0.001	0.000
B.18.1	67	0.019	0.000	-0.069	-0.000	0.000	0.000
