Quantity estimation, Steel
Storey	Struct.	Identifier	Quality	Section/	Unit weight	Total length[m]/	Total weight	Painted area	CO2 footprint (A1-A3)
	type			Thickness[m]	[t/m, t/m2]	Total area[m2]	[t]	[m2]	[kg CO2e]
-	Beam	B.1	S 235	HE-A 240	0.060	5.000	0.302	6.845	760.0
-	Beam	B.2	S 235	HE-A 240	0.060	5.000	0.302	6.845	760.0
-	Beam	B.3	S 235	HE-A 240	0.060	0.500	0.030	0.684	76.0
-	Beam	B.4	S 235	HE-A 240	0.060	0.500	0.030	0.684	76.0
-	Beam	B.5	S 235	HE-A 240	0.060	0.800	0.048	1.095	121.6
-	Beam	B.6	S 235	HE-A 240	0.060	0.800	0.048	1.095	121.6
-	Beam	B.7	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.8	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.9	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.10	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.11	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.12	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.13	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.14	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.15	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.16	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.17	S 235	Z 160	0.022	5.000	0.108	2.844	272.2
-	Beam	B.18	S 235	HE-A 240	0.060	2.236	0.135	3.061	339.9
-	Beam	B.19	S 235	HE-A 240	0.060	2.236	0.135	3.061	339.9
-	Beam	B.20	S 235	HE-A 240	0.060	7.046	0.425	9.645	1,070.9
-	Beam	B.21	S 235	HE-A 240	0.060	7.046	0.425	9.645	1,070.9
-	Beam	B.22	S 235	HE-A 240	0.060	2.236	0.135	3.061	339.9
-	Beam	B.23	S 235	HE-A 240	0.060	2.236	0.135	3.061	339.9
-	Beam	B.24	S 235	HE-A 240	0.060	7.046	0.425	9.645	1,070.9
-	Beam	B.25	S 235	HE-A 240	0.060	7.046	0.425	9.645	1,070.9
-	Beam	B.26	S 235	HE-A 240	0.060	18.000	1.086	24.641	2,735.9
-	Beam	B.27	S 235	HE-A 240	0.060	18.000	1.086	24.641	2,735.9
-	Truss	T.1	S 235	KKR 80x80x4	0.009	1.537	0.014	0.471	35.7
-	Truss	T.2	S 235	KKR 80x80x4	0.009	1.537	0.014	0.471	35.7
-	Truss	T.3	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.4	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.5	S 235	KKR 80x80x4	0.009	1.267	0.012	0.388	29.4
-	Truss	T.6	S 235	KKR 80x80x4	0.009	1.000	0.009	0.306	23.2
-	Truss	T.7	S 235	KKR 80x80x4	0.009	1.267	0.012	0.388	29.4
-	Truss	T.8	S 235	KKR 80x80x4	0.009	1.000	0.009	0.306	23.2
-	Truss	T.9	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.10	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.11	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.12	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.13	S 235	KKR 80x80x4	0.009	1.533	0.014	0.470	35.6
-	Truss	T.14	S 235	KKR 80x80x4	0.009	1.533	0.014	0.470	35.6
-	Truss	T.15	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.16	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.17	S 235	KKR 80x80x4	0.009	2.145	0.020	0.657	49.8
-	Truss	T.18	S 235	KKR 80x80x4	0.009	2.145	0.020	0.657	49.8
-	Truss	T.19	S 235	KKR 80x80x4	0.009	1.800	0.017	0.551	41.8
-	Truss	T.20	S 235	KKR 80x80x4	0.009	1.800	0.017	0.551	41.8
-	Truss	T.21	S 235	KKR 80x80x4	0.009	2.145	0.020	0.657	49.8
-	Truss	T.22	S 235	KKR 80x80x4	0.009	2.145	0.020	0.657	49.8
-	Truss	T.23	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.24	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.25	S 235	KKR 80x80x4	0.009	1.533	0.014	0.470	35.6
-	Truss	T.26	S 235	KKR 80x80x4	0.009	1.533	0.014	0.470	35.6
-	Truss	T.27	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.28	S 235	KKR 80x80x4	0.009	1.927	0.018	0.590	44.8
-	Truss	T.29	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.30	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.31	S 235	KKR 80x80x4	0.009	1.267	0.012	0.388	29.4
-	Truss	T.32	S 235	KKR 80x80x4	0.009	1.267	0.012	0.388	29.4
-	Truss	T.33	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.34	S 235	KKR 80x80x4	0.009	1.722	0.016	0.527	40.0
-	Truss	T.35	S 235	KKR 80x80x4	0.009	1.537	0.014	0.471	35.7
-	Truss	T.36	S 235	KKR 80x80x4	0.009	1.537	0.014	0.471	35.7
-	Truss	T.37	S 235	KKR 80x80x4	0.009	1.000	0.009	0.306	23.2
-	Truss	T.38	S 235	KKR 80x80x4	0.009	1.000	0.009	0.306	23.2
TOTAL							6.937	167.849	17,481.8

